model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time
look_up_table_linear_model,500,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,222.629,26.0392
look_up_table_linear_model,500,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,224.12,26.4493
look_up_table_linear_model,500,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,224.179,26.02
linear_model,1000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,295.787,14.8303
weighted_linear_model,1000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,317.238,19.6126
look_up_table_linear_model,1000,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,367.268,26.2779
look_up_table_linear_model,1000,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,365.672,26.4622
look_up_table_linear_model,1000,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,364.947,25.9803
linear_model,2000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,567.455,14.7643
weighted_linear_model,2000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,604.195,20.3191
look_up_table_linear_model,2000,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,645.69,26.1455
look_up_table_linear_model,2000,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,650.827,27.0273
look_up_table_linear_model,2000,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,653.116,26.7091
linear_model,10,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,104,24.1683,13.5316
weighted_linear_model,10,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,104,26.7143,16.9119
look_up_table_linear_model,10,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,80.2302,22.6869
look_up_table_linear_model,10,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,79.3866,21.2048
look_up_table_linear_model,10,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,82.0224,22.6779
linear_model,50,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,104,35.5648,12.6932
weighted_linear_model,50,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,104,38.2597,16.5668
look_up_table_linear_model,50,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,92.0075,22.6018
look_up_table_linear_model,50,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,92.2306,22.0521
look_up_table_linear_model,50,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,94.6835,22.1827
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,104,48.806,13.012
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,104,55.8257,17.0211
look_up_table_linear_model,100,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,110.298,21.6065
look_up_table_linear_model,100,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,109.648,21.6791
look_up_table_linear_model,100,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,109.72,21.4609
linear_model,200,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,104,80.9797,13.46
weighted_linear_model,200,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,104,84.7652,16.7459
look_up_table_linear_model,200,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,139.9,22.804
look_up_table_linear_model,200,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.9,168,135.798,22.4363
